,Employer,Orbis_ID,BvD_ID,fyear,CEI,State,Voluntary,Democratic_Lean,State_name,Region_Midwest,Region_Northeast,Region_South,Region_West,current_assets,lt_debt,TobinsQ,net_debt,Employees,ROA,RD_expenses,total_assets,LT_debt_to_assets,Net_debt_to_current_assets,Net_debt>0,ln_Employees,BvD sectors,Sector,public_scrutiny,consumer_proximity,litigation_risk,injury_risk,age,time_trend
2743,PPL Corp.,001764123,US232758192,2013,50.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,5153000.0,20592000.0,0.41,20506000.0,18108.0,2.443,,46259000.0,0.44514580946410426,3.9794294585678247,1.0,9.80410910855585,Utilities,Energy,Low,High,High,High,19.0,3
2744,PricewaterhouseCoopers LLP,541894485,US149203904L,2013,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,15.0,3
2745,Principal Financial Group,001704936,US421520346,2013,90.0,IA,1.0,5.810148023612989,IOWA,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,12.0,3
2746,Procter & Gamble Co.,000003043,US310411980,2013,90.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,23990000.0,19111000.0,1.515,25596000.0,121000.0,7.948,1940000.0,139263000.0,0.13722955846132856,1.0669445602334306,1.0,11.703545824578878,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,108.0,3
2747,"Progressive Corp., The",407617727,US311188445L,2013,100.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,1.0,3
2748,Proskauer Rose LLP,006367964,US240393710L,2013,90.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,138.0,3
2749,Prudential Financial Inc.,008732852,US223703799,2013,100.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,,,0.058,,47355.0,-0.077,,731781000.0,,,,10.765427689660202,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,12.0,3
2750,Public Service Enterprise Group,000821315,US222625848,2013,85.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,3614000.0,7862000.0,0.498,8210000.0,9887.0,3.822,,32522000.0,0.24174405018141565,2.271721084670725,1.0,9.198976041897133,Utilities,Energy,Low,High,High,High,28.0,3
2751,Publicis Inc.,203999075,US132910096L,2013,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,87.0,3
2752,Publix Super Markets Inc.,000043033,US590324412,2013,0.0,FL,0.0,0.8768873067231624,FLORIDA,False,False,True,False,3260144.0,124645.0,,-969273.0,166000.0,12.209,,13546641.0,0.009201173929389581,-0.29730987342890375,0.0,12.01974306733868,Retail,Retailing,Low,Low,Low,Low,92.0,3
2753,PulteGroup Inc.,000923342,US382766606,2013,15.0,MI,0.0,9.497288183098526,MICHIGAN,True,False,False,False,5660292.0,2058168.0,0.893,583503.0,3843.0,29.999,,8734143.0,0.23564624485768093,0.10308708455323506,1.0,8.254008590564844,Construction,Engineering & Construction,Low,Low,Low,High,26.0,3
2754,PVH Corp.,000003428,US131166910,2013,60.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,2998592.0,3878221.0,0.852,3376858.0,33200.0,1.24,,11575578.0,0.33503476025128076,1.1261478720679572,1.0,10.410305154904579,Textiles & Clothing Manufacturing,Apparel,High,Low,Low,High,37.0,3
2755,Qualcomm Inc.,000756614,US953685934,2013,90.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,19555000.0,17000.0,2.537,-14949000.0,31000.0,15.056,4967000.0,45516000.0,0.0003734950347130679,-0.7644592175914089,0.0,10.341742483467284,Communications,Telecommunications,High,Low,High,Low,22.0,3
2756,Quarles & Brady LLP,020683836,US120287879L,2013,85.0,WI,1.0,6.837815821534832,WISCONSIN,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,31.0,3
2757,Quest Diagnostics Inc.,000381224,US161387862,2013,65.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,1383000.0,3120000.0,0.87,3145000.0,41000.0,9.488,,8948000.0,0.348681269557443,2.2740419378163415,1.0,10.621327345686446,"Public Administration, Education, Health Social Services",Health Care,Low,Low,Low,High,17.0,3
2758,R.R. Donnelley & Sons Co.,000030006,US361004130,2013,90.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,3561600.0,3587000.0,0.509,2829500.0,57000.0,2.918,,7238200.0,0.4955651957669034,0.794446316262354,1.0,10.950806546816688,Printing & Publishing,Media,Low,Low,Low,Low,57.0,3
2759,Ralph Lauren Corp.,000303903,US132622036,2013,90.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,3329000.0,553000.0,1.598,-716000.0,23000.0,12.746,,6088000.0,0.09083442838370565,-0.2150796034845299,0.0,10.043249494911286,Wholesale,Wholesalers,Low,Low,Low,Low,16.0,3
2760,Raymond James Financial Inc.,000494015,US591517485,2013,90.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,,,0.334,,9220.0,1.913,,21924500.0,,,,9.12913031655064,Business Services,Business Services,Low,Low,Low,Low,19.0,3
2761,Raytheon Technologies Corp.,174923000,US060570975,2013,100.0,MA,1.0,23.0191860048816,MASSACHUSETTS,False,True,False,False,29442000.0,19741000.0,1.153,15622000.0,212000.0,6.315,2342000.0,90594000.0,0.2179062631079321,0.5306025405882753,1.0,12.26434155365415,Transport Manufacturing,Transportation,Low,Low,Low,High,79.0,3
2762,RBC Wealth Management,083279363,US164015652L,2013,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,10.0,3
2763,Realogy Holdings Corp.,032524213,US208050955,2013,35.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,917000.0,3886000.0,0.986,3921000.0,10800.0,5.979,,7326000.0,0.5304395304395304,4.275899672846238,1.0,9.287301413112312,Property Services,Retailing,Low,Low,Low,Low,7.0,3
2764,Recreational Equipment Inc.,000061374,US149098704L,2013,90.0,WA,1.0,14.86877686756363,WASHINGTON,False,False,False,True,,,,,,,,,,,,,Retail,Retailing,Low,Low,Low,Low,75.0,3
2765,Reed Smith LLP,312439663,US201886770L,2013,85.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,136.0,3
2766,Regions Financial Corp.,001303966,US630589368,2013,60.0,AL,1.0,-22.18678923107035,ALABAMA,False,False,True,False,,,0.116,,24255.0,0.957,,117662000.0,,,,10.096378060679317,Business Services,Business Services,Low,Low,Low,Low,9.0,3
2767,Reinsurance Group of America Inc.,000973537,US431627032,2013,15.0,MO,0.0,-9.380257590423753,MISSOURI,True,False,False,False,,,0.138,,1890.0,1.056,,39674473.0,,,,7.5443321080536885,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,21.0,3
2768,Reliance Steel & Aluminum Co.,000042804,US951142616,2013,15.0,CA,0.0,23.11858062098484,CALIFORNIA,False,False,False,True,2738900.0,2072500.0,0.799,2025400.0,14000.0,4.381,,7341000.0,0.28231848521999725,0.7394939574281646,1.0,9.546812608597396,Wholesale,Wholesalers,Low,Low,Low,Low,0.0,3
2769,Replacements Ltd.,000297369,US127138898L,2013,100.0,NC,1.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,,,,,,,,,,,,,Retail,Retailing,Low,Low,Low,Low,32.0,3
2770,"Republic Services, Inc.",000158212,US650716904,2013,15.0,AZ,0.0,-9.064766224175322,ARIZONA,False,False,False,True,1421900.0,7002400.0,0.599,6804800.0,31000.0,2.952,,19949200.0,0.35101156938624106,4.78570926225473,1.0,10.341742483467284,Waste Management & Treatment,Industrials,Low,Low,Low,High,17.0,3
2771,Reynolds American Inc.,009829355,US200546644,2013,85.0,NC,1.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,3655000.0,5099000.0,1.754,3599000.0,5290.0,11.154,72000.0,15402000.0,0.3310609011816647,0.9846785225718194,1.0,8.573573524852344,Food & Tobacco Manufacturing,"Food, Beverages & Tobacco",High,High,High,High,9.0,3
2772,Rite Aid Corp.,000091315,US231614034,2013,60.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,4285125.0,5707969.0,0.917,5610737.0,89000.0,3.102,,6944871.0,0.8218970517954906,1.3093520025670196,1.0,11.396391648714276,Retail,Retailing,Low,Low,Low,Low,45.0,3
2773,Robert Half,000293349,US941648752,2013,85.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,1172528.0,1300.0,3.905,-274336.0,13000.0,16.923,,1490271.0,0.0008723245637873917,-0.23396967918889783,0.0,9.472704636443673,Business Services,Business Services,Low,Low,Low,Low,34.0,3
2774,Robert W. Baird & Co. Incorporated,546070240,US117659865GN,2013,90.0,WI,1.0,6.837815821534832,WISCONSIN,True,False,False,False,,,,,,,,,,,,,"Banking, Insurance & Financial Services",Financials,Low,Low,High,Low,7.0,3
2775,Robins Kaplan LLP,000437041,US126449901L,2013,100.0,MN,1.0,7.694102046577612,MINNESOTA,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,74.0,3
2776,Rockwell Automation Inc.,051390222,US251797617,2013,100.0,WI,1.0,6.837815821534832,WISCONSIN,True,False,False,False,3679900.0,905100.0,2.537,-489500.0,22000.0,12.94,260700.0,5844600.0,0.15486089723847654,-0.13301991901953858,0.0,9.998797732340453,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,17.0,3
2777,Ropes & Gray LLP,000468094,US223641299L,2013,100.0,MA,1.0,23.0191860048816,MASSACHUSETTS,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,148.0,3
2778,Ross Stores Inc.,000194766,US941390387,2013,0.0,CA,0.0,23.11858062098484,CALIFORNIA,False,False,False,True,1867159.0,150000.0,3.745,-285174.0,66300.0,21.487,,3896797.0,0.03849315219653474,-0.15273150278042738,0.0,11.101945176173954,Retail,Retailing,Low,Low,Low,Low,24.0,3
2779,Royal Caribbean Group,001627181,LR30002MX,2013,90.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,956374.0,6511426.0,0.52,7870117.0,64000.0,2.36,0.0,20072947.0,0.32438814290696827,8.229120615993326,1.0,11.06663836234181,"Transport, Freight & Storage",Transportation,Low,Low,Low,High,28.0,3
2780,Ryder System Inc.,000043049,US590739250,2013,70.0,FL,1.0,0.8768873067231624,FLORIDA,False,False,True,False,1062493.0,3929987.0,0.426,4127863.0,28900.0,2.613,,9103782.0,0.4316872921605548,3.8850731251876485,1.0,10.271596874100524,"Travel, Personal & Leisure","Hotels, Restaurants & Leisure",Low,Low,Low,Low,58.0,3
2781,S.C. Johnson & Son Inc.,000037031,US132097588L,2013,100.0,WI,1.0,6.837815821534832,WISCONSIN,True,False,False,False,,,,,,,,,,,,,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,127.0,3
2782,Sabre Corporation,175330285,US208647322,2013,75.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,880369.0,3643548.0,,3421429.0,10000.0,-2.885,,4755708.0,0.7661420760063485,3.8863578794800815,1.0,9.210340371976184,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,7.0,3
2783,Salesforce,000470179,US943320693,2013,80.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,2680252.0,1936404.0,4.035,1669789.0,13300.0,-2.537,623798.0,9152930.0,0.21156110666201972,0.6229970166984299,1.0,9.495519314209846,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,14.0,3
2784,Sanmina-SCI,001718647,US770228183,2013,0.0,CA,0.0,23.11858062098484,CALIFORNIA,False,False,False,True,2204588.0,562512.0,0.488,181938.0,33144.0,2.649,25571.0,2995848.0,0.18776386518942215,0.08252698463386356,1.0,10.408616983757238,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,24.0,3
2785,Sanofi,003562064,FR395030844,2013,45.0,NJ,1.0,17.71879008349322,NEW JERSEY,False,True,False,False,32977038.3653641,14361947.0365047,1.063,8652473.18100929,112128.0,3.869,6578306.83350563,132483238.146901,0.10840576692864183,0.26237872198059525,1.0,11.627396354856009,"Chemicals, Petroleum, Rubber & Plastic",Chemicals,Low,Low,Low,High,14.0,3
2786,SAP America Inc.,000918541,US128458298L,2013,90.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,41.0,3
2787,Saul Ewing Arnstein & Lehr LLP,569106807,US363298856L,2013,90.0,PA,1.0,5.395991668466252,PENNSYLVANIA,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,92.0,3
2788,Schiff Hardin LLP,000444631,US129928823L,2013,100.0,IL,1.0,16.86939409166019,ILLINOIS,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,71.0,3
